pdgid,particle
9010113,\pi_{1}(1600)^{0}
9010117,\rho_{3}(2250)^{0}
9010211,\pi(1800)^{+}
9010213,\pi_{1}(1600)^{+}
9010217,\rho_{3}(2250)^{+}
9010221,f_{0}(980)
9010223,h_{1}(1595)
9010225,f_{2}(1565)
9010229,f_{4}(2300)
9010311,K(1830)^{0}
9010315,K_{2}(2250)^{0}
9010317,K_{3}(2320)^{0}
9010321,K(1830)^{+}
9010325,K_{2}(2250)^{+}
9010327,K_{3}(2320)^{+}
9010443,\psi(4160)
9010553,\Upsilon(11020)
9020113,a_{1}(1640)^{0}
9020213,a_{1}(1640)^{+}
9020221,\eta(1405)
9020225,f_{2}(1640)
9020311,K_{0}^{*}(1950)^{0}
9020321,K_{0}^{*}(1950)^{+}
9020443,\psi(4415)
9030113,\rho(1900)^{0}
9030213,\rho(1900)^{+}
9030221,f_{0}(1500)
9030225,f_{2}(1810)
9040113,\rho(2150)^{0}
9040213,\rho(2150)^{+}
9040221,\eta(1760)
9040225,f_{2}(1910)
9050221,f_{0}(2020)
9050225,f_{2}(1950)
9060221,f_{0}(2100)
9060225,f_{2}(2010)
9070221,f_{0}(2200)
9070225,f_{2}(2150)
9080221,\eta(2225)
9080225,f_{2}(2300)
9090221,f_{0}(2330)
9090225,f_{2}(2340)
