pdgid,particle,antiparticle
12216,N(1680)^{+},N(1680)^{-}
12224,\Delta(1700)^{++},\Delta(1700)^{--}
13112,\Sigma(1660)^-,\Sigma(1660)^+
13114,\Sigma(1670)^-,\Sigma(1670)^+
13116,\Sigma(1915)^-,\Sigma(1915)^+
13122,\Lambda(1404),\Lambda(1404)
13124,\Lambda(1690),\Lambda(1690)
13126,\Lambda(1830),\Lambda(1830)
13212,\Sigma(1660)^{0},\Sigma(1660)^{0}
13214,\Sigma(1670)^{0},\Sigma(1670)^{0}
13216,\Sigma(1915)^{0},\Sigma(1915)^{0}
13222,\Sigma(1660)^{+},\Sigma(1660)^{-}
13224,\Sigma(1670)^{+},\Sigma(1670)^{-}
13226,\Sigma(1915)^{+},\Sigma(1915)^{-}
13314,\Xi(1820)^{-},\Xi(1820)^{+}
13324,\Xi(1820)^{0},\Xi(1820)^{0}
14122,\Lambda_c(2593),\Lambda_c(2593)
20113,a_{1}(1260)^{0},a_{1}(1260)^{0}
20213,a_{1}(1260)^{+},a_{1}(1260)^{-}
20223,f_{1}(1285),f_{1}(1285)
20313,K_{1}(1400)^{0},K_{1}(1400)^{0}
20315,K_{2}(1820)^{0},K_{2}(1820)^{0}
20323,K_{1}(1400)^{+},K_{1}(1400)^{-}
20325,K_{2}(1820)^{+},K_{2}(1820)^{-}
20333,f_{1}(1420)/f_1^\prime,f_{1}(1420)/f_1^\prime
20423,D_{1}(2430)^{0},D_{1}(2430)^{0}
20433,D_{s1}(H)/D_{s1}^{*+}^{+},D_{s1}(H)/D_{s1}^{*-}^{-}
20443,\chi_{c1}(1P),\chi_{c1}(1P)
20553,\chi_{b1}(1P),\chi_{b1}(1P)
21114,\Delta(1920)^{-},\Delta(1920)^{+}
22114,\Delta(1920)^{0},\Delta(1920)^{0}
22122,\Delta(1910)^{+},\Delta(1910)^{-}
22214,\Delta(1920)^{+},\Delta(1920)^{-}
22224,\Delta(1920)^{++},\Delta(1920)^{--}
21112,\Delta(1910)^-,\Delta(1910)^+
21212,\Delta(1910)^{0},\Delta(1910)^{0}
21214,N(1700)^{0},N(1700)^{0}
22112,\Delta(1910)^{0},\Delta(1910)^{0}
22124,N(1700)^{+},N(1700)^{-}
22212,N(1535)^{+},N(1535)^{-}
22222,\Delta(1910)^{++},\Delta(1910)^{--}
23112,\Sigma(1750)^-,\Sigma(1750)^+
23114,\Sigma(1940)^-,\Sigma(1940)^+
23122,\Lambda(1600),\Lambda(1600)
23124,\Lambda(1890),\Lambda(1890)
23126,\Lambda(2110),\Lambda(2110)
23212,\Sigma(1750)^{0},\Sigma(1750)^{0}
23214,\Sigma(1940)^{0},\Sigma(1940)^{0}
23222,\Sigma(1750)^{+},\Sigma(1750)^{-}
23224,\Sigma(1940)^{+},\Sigma(1940)^{-}
30113,\rho(1700)^{0},\rho(1700)^{0}
30213,\rho(1700)^{+},\rho(1700)^{-}
30221,f_{0}(1370)/f_0^\prime,f_{0}(1370)/f_0^\prime
30223,\omega(1650),\omega(1650)
30313,K^{*}(1680)^{0},K^{*}(1680)^{0}
30323,K^{*}(1680)^{+},K^{*}(1680)^{-}
30443,\psi(3770),\psi(3770)
31114,\Delta(1600)^-,\Delta(1600)^+
31214,N(1720)^{0},N(1720)^{0}
32112,N(1650)^{0},N(1650)^{0}
32114,\Delta(1600)^{0},\Delta(1600)^{0}
32124,N(1720)^{+},N(1720)^{-}
32212,N(1650)^{+},N(1650)^{-}
32214,\Delta(1600)^{+},\Delta(1600)^{-}
32224,\Delta(1600)^{++},\Delta(1600)^{--}
33122,\Lambda(1670),\Lambda(1670)
42112,N(1710)^{0},N(1710)^{0}
42212,N(1710)^{+},N(1710)^{-}
43122,\Lambda(1800),\Lambda(1800)
53122,\Lambda(1810),\Lambda(1810)
100111,\pi(1300)^{0},\pi(1300)^{0}
100113,\rho(1450)^{0},\rho(1450)^{0}
100115,a_{2}(1700)^{0},a_{2}(1700)^{0}
100211,\pi(1300)^{+},\pi(1300)^{-}
100213,\rho(1450)^{+},\rho(1450)^{-}
100215,a_{2}(1700)^{+},a_{2}(1700)^{-}
