PDGID,STR
-4114,anti-Sigma_c*0
4214,Sigma_c*+
-4214,anti-Sigma_c*-
4224,Sigma_c*++
-4224,anti-Sigma_c*--
4132,Xi_c0
-4132,anti-Xi_c0
4232,Xi_c+
-4232,anti-Xi_c-
4312,Xi'_c0
-4312,anti-Xi'_c0
4322,Xi'_c+
-4322,anti-Xi'_c-
4314,Xi_c*0
-4314,anti-Xi_c*0
4324,Xi_c*+
-4324,anti-Xi_c*-
104324,Xi_c(2790)+
-104324,anti-Xi_c(2790)-
104314,Xi_c(2790)0
-104314,anti-Xi_c(2790)0
104322,Xi_c(2815)+
-104322,anti-Xi_c(2815)-
104312,Xi_c(2815)0
-104312,anti-Xi_c(2815)0
4332,Omega_c0
-4332,anti-Omega_c0
4334,Omega_c*0
-4334,anti-Omega_c*0
5122,Lambda_b0
-5122,anti-Lambda_b0
5112,Sigma_b-
-5112,anti-Sigma_b+
5222,Sigma_b+
-5222,anti-Sigma_b-
5114,Sigma_b*-
-5114,anti-Sigma_b*+
5224,Sigma_b*+
-5224,anti-Sigma_b*-
5132,Xi_b-
-5132,anti-Xi_b+
5232,Xi_b0
-5232,anti-Xi_b0
5332,Omega_b-
-5332,anti-Omega_b+
25,Higgs0
1,d
-1,anti-d
2,u
-2,anti-u
3,s
-3,anti-s
4,c
-4,anti-c
5,b
-5,anti-b
6,t
-6,anti-t
16,nu_tau
-16,anti-nu_tau
21,g
