# (c) Scikit-HEP project - Particle package data file - pdgid_to_corsika7id.csv - 2023-01-17
# Auto generated by 'admin/dump_pdgid_to_corsika7.py'
PDGID,CORSIKA7ID
1000100260,2610
1000110260,2611
1000120260,2612
1000130260,2613
1000140260,2614
1000150260,2615
1000160260,2616
1000090270,2709
1000100270,2710
1000110270,2711
1000120270,2712
1000130270,2713
1000140270,2714
1000150270,2715
1000160270,2716
1000090280,2809
1000100280,2810
1000110280,2811
1000120280,2812
1000130280,2813
1000140280,2814
1000150280,2815
1000160280,2816
1000170280,2817
1000090290,2909
1000100290,2910
1000110290,2911
1000120290,2912
1000130290,2913
1000140290,2914
1000150290,2915
1000160290,2916
1000170290,2917
1000100300,3010
1000110300,3011
1000120300,3012
1000130300,3013
1000140300,3014
1000150300,3015
1000160300,3016
1000170300,3017
1000180300,3018
1000100310,3110
1000110310,3111
1000120310,3112
1000130310,3113
1000140310,3114
1000150310,3115
1000160310,3116
1000170310,3117
1000180310,3118
1000100320,3210
1000110320,3211
1000120320,3212
1000130320,3213
1000140320,3214
1000150320,3215
1000160320,3216
1000170320,3217
1000180320,3218
1000190320,3219
1000110330,3311
1000120330,3312
1000130330,3313
1000140330,3314
1000150330,3315
1000160330,3316
1000170330,3317
1000180330,3318
1000190330,3319
1000110340,3411
1000120340,3412
1000130340,3413
1000140340,3414
1000150340,3415
1000160340,3416
1000170340,3417
1000180340,3418
1000190340,3419
1000200340,3420
1000110350,3511
1000120350,3512
1000130350,3513
1000140350,3514
1000150350,3515
1000160350,3516
1000170350,3517
1000180350,3518
1000190350,3519
1000200350,3520
1000120360,3612
1000130360,3613
1000140360,3614
1000150360,3615
1000160360,3616
1000170360,3617
1000180360,3618
1000190360,3619
1000200360,3620
1000210360,3621
1000120370,3712
1000130370,3713
1000140370,3714
1000150370,3715
1000160370,3716
1000170370,3717
1000180370,3718
1000190370,3719
1000200370,3720
1000210370,3721
1000130380,3813
1000140380,3814
1000150380,3815
1000160380,3816
1000170380,3817
1000180380,3818
1000190380,3819
1000200380,3820
1000210380,3821
1000220380,3822
1000130390,3913
1000140390,3914
1000150390,3915
1000160390,3916
1000170390,3917
1000180390,3918
1000190390,3919
1000200390,3920
1000210390,3921
1000220390,3922
1000140400,4014
1000150400,4015
1000160400,4016
1000170400,4017
1000180400,4018
1000190400,4019
1000200400,4020
1000210400,4021
1000220400,4022
1000230400,4023
1000140410,4114
1000150410,4115
1000160410,4116
1000170410,4117
1000180410,4118
1000190410,4119
1000200410,4120
1000210410,4121
1000220410,4122
1000230410,4123
1000140420,4214
1000150420,4215
1000160420,4216
1000170420,4217
1000180420,4218
1000190420,4219
1000200420,4220
1000210420,4221
1000220420,4222
1000230420,4223
1000240420,4224
1000150430,4315
1000160430,4316
1000170430,4317
1000180430,4318
1000190430,4319
1000200430,4320
1000210430,4321
1000220430,4322
1000230430,4323
1000240430,4324
1000150440,4415
1000160440,4416
1000170440,4417
1000180440,4418
1000190440,4419
1000200440,4420
1000210440,4421
1000220440,4422
1000230440,4423
1000240440,4424
1000250440,4425
1000150450,4515
1000160450,4516
1000170450,4517
1000180450,4518
1000190450,4519
1000200450,4520
1000210450,4521
1000220450,4522
1000230450,4523
1000240450,4524
1000250450,4525
1000260450,4526
1000150460,4615
1000160460,4616
1000170460,4617
1000180460,4618
1000190460,4619
1000200460,4620
1000210460,4621
1000220460,4622
1000230460,4623
1000240460,4624
1000250460,4625
1000260460,4626
1000160470,4716
1000170470,4717
1000180470,4718
1000190470,4719
1000200470,4720
1000210470,4721
1000220470,4722
1000230470,4723
1000240470,4724
1000250470,4725
1000260470,4726
1000160480,4816
1000170480,4817
1000180480,4818
1000190480,4819
1000200480,4820
1000210480,4821
1000220480,4822
1000230480,4823
1000240480,4824
1000250480,4825
1000260480,4826
1000270480,4827
1000160490,4916
1000170490,4917
1000180490,4918
1000190490,4919
1000200490,4920
1000210490,4921
1000220490,4922
1000230490,4923
1000240490,4924
1000250490,4925
1000260490,4926
1000270490,4927
1000170500,5017
1000180500,5018
1000190500,5019
1000200500,5020
1000210500,5021
1000220500,5022
1000230500,5023
1000240500,5024
1000250500,5025
1000260500,5026
1000270500,5027
1000280500,5028
1000170510,5117
1000180510,5118
1000190510,5119
1000200510,5120
1000210510,5121
1000220510,5122
1000230510,5123
1000240510,5124
1000250510,5125
1000260510,5126
1000270510,5127
1000280510,5128
1000180520,5218
1000190520,5219
1000200520,5220
1000210520,5221
1000220520,5222
1000230520,5223
1000240520,5224
1000250520,5225
1000260520,5226
1000270520,5227
1000280520,5228
1000290520,5229
1000180530,5318
1000190530,5319
1000200530,5320
1000210530,5321
1000220530,5322
1000230530,5323
1000240530,5324
1000250530,5325
1000260530,5326
1000270530,5327
1000280530,5328
1000290530,5329
1000190540,5419
1000200540,5420
1000210540,5421
1000220540,5422
1000230540,5423
1000240540,5424
1000250540,5425
1000260540,5426
1000270540,5427
1000280540,5428
1000290540,5429
1000300540,5430
1000190550,5519
1000200550,5520
1000210550,5521
1000220550,5522
1000230550,5523
1000240550,5524
1000250550,5525
1000260550,5526
1000270550,5527
1000280550,5528
1000290550,5529
1000300550,5530
1000200560,5620
1000210560,5621
1000220560,5622
1000230560,5623
1000240560,5624
1000250560,5625
1000260560,5626
1000270560,5627
1000280560,5628
1000290560,5629
1000300560,5630
1000310560,5631
