# (c) Scikit-HEP project - Particle package data file - conversions.csv - version 5 - 2020-03-30
      PDGID,   PYTHIAID,   GEANT3ID,            PDGNAME,            EVTGENNAME,                     LATEXNAME
      -4212,      -4212,         84,   Sigma(c)(2455)~-,         anti-Sigma_c-,    \bar{\Sigma}_{c}(2455)^{-}
       4214,       4214,        486,    Sigma(c)(2520)+,             Sigma_c*+,          \Sigma_{c}(2520)^{+}
      -4214,      -4214,        487,   Sigma(c)(2520)~-,        anti-Sigma_c*-,    \bar{\Sigma}_{c}(2520)^{-}
       4222,       4222,         85,   Sigma(c)(2455)++,             Sigma_c++,         \Sigma_{c}(2455)^{++}
      -4222,      -4222,         86,  Sigma(c)(2455)~--,        anti-Sigma_c--,   \bar{\Sigma}_{c}(2455)^{--}
       4224,       4224,        488,   Sigma(c)(2520)++,            Sigma_c*++,         \Sigma_{c}(2520)^{++}
      -4224,      -4224,        489,  Sigma(c)(2520)~--,       anti-Sigma_c*--,   \bar{\Sigma}_{c}(2520)^{--}
       4232,       4232,        108,             Xi(c)+,                 Xi_c+,                   \Xi_{c}^{+}
      -4232,      -4232,        109,            Xi(c)~-,            anti-Xi_c-,             \bar{\Xi}_{c}^{-}
       4301,       4301,        490,            (cs)(0),                  cs_0,                      (cs)_{0}
      -4301,      -4301,        491,           (cs)(0)~,             anti-cs_0,                (\bar{cs})_{0}
       4303,       4303,        492,            (cs)(1),                  cs_1,                      (cs)_{1}
      -4303,      -4303,        493,           (cs)(1)~,             anti-cs_1,                (\bar{cs})_{1}
       4312,       4312,        100,            Xi(c)'0,                Xi'_c0,            \Xi_{c}^{\prime 0}
      -4312,      -4312,        101,           Xi(c)'~0,           anti-Xi'_c0,      \bar{\Xi}_{c}^{\prime 0}
       4314,       4314,        494,       Xi(c)(2645)0,                Xi_c*0,             \Xi_{c}(2645)^{0}
      -4314,      -4314,        495,      Xi(c)(2645)~0,           anti-Xi_c*0,       \bar{\Xi}_{c}(2645)^{0}
       4322,       4322,        102,            Xi(c)'+,                Xi'_c+,            \Xi_{c}^{\prime +}
      -4322,      -4322,        103,           Xi(c)'~-,           anti-Xi'_c-,      \bar{\Xi}_{c}^{\prime -}
       4324,       4324,        496,       Xi(c)(2645)+,                Xi_c*+,             \Xi_{c}(2645)^{+}
      -4324,      -4324,        497,      Xi(c)(2645)~-,           anti-Xi_c*-,       \bar{\Xi}_{c}(2645)^{-}
       4332,       4332,        104,          Omega(c)0,              Omega_c0,                \Omega_{c}^{0}
      -4332,      -4332,        105,         Omega(c)~0,         anti-Omega_c0,          \bar{\Omega}_{c}^{0}
       4334,       4334,        498,    Omega(c)(2770)0,             Omega_c*0,          \Omega_{c}(2770)^{0}
      -4334,      -4334,        499,   Omega(c)(2770)~0,        anti-Omega_c*0,    \bar{\Omega}_{c}(2770)^{0}
       4403,       4403,        500,            (cc)(1),                  cc_1,                      (cc)_{1}
      -4403,      -4403,        501,           (cc)(1)~,             anti-cc_1,                (\bar{cc})_{1}
       4412,       4412,        502,            Xi(cc)+,                Xi_cc+,                  \Xi_{cc}^{+}
      -4412,      -4412,        503,           Xi(cc)~-,           anti-Xi_cc-,            \bar{\Xi}_{cc}^{-}
       4414,       4414,        504,           Xi(cc)*+,               Xi_cc*+,                 \Xi_{cc}^{*+}
