# (c) Scikit-HEP project - Particle package data file - conversions.csv - version 5 - 2020-03-30
      PDGID,   PYTHIAID,   GEANT3ID,            PDGNAME,            EVTGENNAME,                     LATEXNAME
      23112,          0,        721,       Sigma(1750)-,          Sigma(1750)-,              \Sigma(1750)^{-}
     -23112,          0,        722,      Sigma(1750)~+,     anti-Sigma(1750)+,        \bar{\Sigma}(1750)^{+}
      23114,          0,        723,       Sigma(1940)-,          Sigma(1940)-,              \Sigma(1940)^{-}
     -23114,          0,        724,      Sigma(1940)~+,     anti-Sigma(1940)+,        \bar{\Sigma}(1940)^{+}
      23122,          0,        725,       Lambda(1600),         Lambda(1600)0,                 \Lambda(1600)
     -23122,          0,        726,      Lambda(1600)~,    anti-Lambda(1600)0,           \bar{\Lambda}(1600)
      23124,          0,        727,       Lambda(1890),         Lambda(1890)0,                 \Lambda(1890)
     -23124,          0,        728,      Lambda(1890)~,    anti-Lambda(1890)0,           \bar{\Lambda}(1890)
      23126,          0,        729,       Lambda(2110),         Lambda(2110)0,                 \Lambda(2110)
     -23126,          0,        730,      Lambda(2110)~,    anti-Lambda(2110)0,           \bar{\Lambda}(2110)
      23212,          0,        731,       Sigma(1750)0,          Sigma(1750)0,              \Sigma(1750)^{0}
     -23212,          0,        732,      Sigma(1750)~0,     anti-Sigma(1750)0,        \bar{\Sigma}(1750)^{0}
      23214,          0,        733,       Sigma(1940)0,          Sigma(1940)0,              \Sigma(1940)^{0}
     -23214,          0,        734,      Sigma(1940)~0,     anti-Sigma(1940)0,        \bar{\Sigma}(1940)^{0}
      23222,          0,        735,       Sigma(1750)+,          Sigma(1750)+,              \Sigma(1750)^{+}
     -23222,          0,        736,      Sigma(1750)~-,     anti-Sigma(1750)-,        \bar{\Sigma}(1750)^{-}
      23224,          0,        737,       Sigma(1940)+,          Sigma(1940)+,              \Sigma(1940)^{+}
     -23224,          0,        738,      Sigma(1940)~-,     anti-Sigma(1940)-,        \bar{\Sigma}(1940)^{-}
      30113,          0,        743,         rho(1700)0,              rho(3S)0,                \rho(1700)^{0}
      30213,          0,        744,         rho(1700)+,              rho(3S)+,                \rho(1700)^{+}
     -30213,          0,        745,         rho(1700)-,              rho(3S)-,                \rho(1700)^{-}
      30223,          0,        746,        omega(1650),           omega(1650),                  \omega(1650)
      30313,          0,        747,          K*(1680)0,                 K''*0,               K^{*}(1680)^{0}
     -30313,          0,        748,         K*(1680)~0,            anti-K''*0,         \bar{K}^{*}(1680)^{0}
      30323,          0,        749,          K*(1680)+,                 K''*+,               K^{*}(1680)^{+}
     -30323,          0,        750,          K*(1680)-,                 K''*-,               K^{*}(1680)^{-}
      30343,      30343,        751,              X(sd),                   Xsd,                        X_{sd}
     -30343,     -30343,        752,             X(sd)~,              anti-Xsd,                  \bar{X}_{sd}
      30353,      30353,        753,              X(su),                   Xsu,                        X_{su}
     -30353,     -30353,        754,             X(su)~,              anti-Xsu,                  \bar{X}_{su}
      30363,      30363,        755,              X(ss),                   Xss,                        X_{ss}
     -30363,     -30363,        756,             X(ss)~,              anti-Xss,                  \bar{X}_{ss}
      30443,      30443,        765,          psi(3770),             psi(3770),                    \psi(3770)
      30553,      30553,        766,      Upsilon_1(1D),         Upsilon_1(1D),              \Upsilon_{1}(1D)
      31114,          0,        767,       Delta(1600)-,          Delta(1600)-,              \Delta(1600)^{-}
     -31114,          0,        768,      Delta(1600)~+,     anti-Delta(1600)+,        \bar{\Delta}(1600)^{+}
      31214,          0,        769,           N(1720)0,              N(1720)0,                   N(1720)^{0}
     -31214,          0,        770,          N(1720)~0,         anti-N(1720)0,             \bar{N}(1720)^{0}
      32112,          0,        771,           N(1650)0,              N(1650)0,                   N(1650)^{0}
     -32112,          0,        772,          N(1650)~0,         anti-N(1650)0,             \bar{N}(1650)^{0}
      32114,          0,        773,       Delta(1600)0,          Delta(1600)0,              \Delta(1600)^{0}
     -32114,          0,        774,      Delta(1600)~0,     anti-Delta(1600)0,        \bar{\Delta}(1600)^{0}
      32124,          0,        775,           N(1720)+,              N(1720)+,                   N(1720)^{+}
     -32124,          0,        776,          N(1720)~-,         anti-N(1720)-,             \bar{N}(1720)^{-}
      32212,          0,        777,           N(1650)+,              N(1650)+,                   N(1650)^{+}
     -32212,          0,        778,          N(1650)~-,         anti-N(1650)-,             \bar{N}(1650)^{-}
      32214,          0,        779,       Delta(1600)+,          Delta(1600)+,              \Delta(1600)^{+}
     -32214,          0,        780,      Delta(1600)~-,     anti-Delta(1600)-,        \bar{\Delta}(1600)^{-}
      32224,          0,        781,      Delta(1600)++,         Delta(1600)++,             \Delta(1600)^{++}
     -32224,          0,        782,     Delta(1600)~--,    anti-Delta(1600)--,       \bar{\Delta}(1600)^{--}
      33122,          0,        783,       Lambda(1670),         Lambda(1670)0,                 \Lambda(1670)
     -33122,          0,        784,      Lambda(1670)~,    anti-Lambda(1670)0,           \bar{\Lambda}(1670)
      41214,          0,        789,           N(1900)0,              N(1900)0,                   N(1900)^{0}
     -41214,          0,        790,          N(1900)~0,         anti-N(1900)0,             \bar{N}(1900)^{0}
      42112,          0,        791,           N(1710)0,              N(1710)0,                   N(1710)^{0}
     -42112,          0,        792,          N(1710)~0,         anti-N(1710)0,             \bar{N}(1710)^{0}
      42124,          0,        793,           N(1900)+,              N(1900)+,                   N(1900)^{+}
     -42124,          0,        794,          N(1900)~-,         anti-N(1900)-,             \bar{N}(1900)^{-}
      42212,          0,        795,           N(1710)+,              N(1710)+,                   N(1710)^{+}
     -42212,          0,        796,          N(1710)~-,         anti-N(1710)-,             \bar{N}(1710)^{-}
      43122,          0,        797,       Lambda(1800),         Lambda(1800)0,                 \Lambda(1800)
     -43122,          0,        798,      Lambda(1800)~,    anti-Lambda(1800)0,           \bar{\Lambda}(1800)
      52114,          0,        799,           N(2090)0,              N(2090)0,                   N(2090)^{0}
     -52114,          0,        800,          N(2090)~0,         anti-N(2090)0,             \bar{N}(2090)^{0}
      52214,          0,        801,           N(2090)+,              N(2090)+,                   N(2090)^{+}
     -52214,          0,        802,          N(2090)~-,         anti-N(2090)-,             \bar{N}(2090)^{-}
      53122,          0,        803,       Lambda(1810),         Lambda(1810)0,                 \Lambda(1810)
     -53122,          0,        804,      Lambda(1810)~,    anti-Lambda(1810)0,           \bar{\Lambda}(1810)
     100111,          0,        805,          pi(1300)0,               pi(2S)0,                 \pi(1300)^{0}
     100113,          0,        806,         rho(1450)0,              rho(2S)0,                \rho(1450)^{0}
     100211,          0,        807,          pi(1300)+,               pi(2S)+,                 \pi(1300)^{+}
    -100211,          0,        808,          pi(1300)-,               pi(2S)-,                 \pi(1300)^{-}
     100213,          0,        809,         rho(1450)+,              rho(2S)+,                \rho(1450)^{+}
    -100213,          0,        810,         rho(1450)-,              rho(2S)-,                \rho(1450)^{-}
     100221,          0,        811,          eta(1295),               eta(2S),                    \eta(1295)
     100311,          0,        814,           K(1460)0,              K(1460)0,                   K(1460)^{0}
    -100311,          0,        815,          K(1460)~0,         anti-K(1460)0,             \bar{K}(1460)^{0}
     100313,          0,        816,          K*(1410)0,                  K'*0,               K^{*}(1410)^{0}
    -100313,          0,        817,         K*(1410)~0,             anti-K'*0,         \bar{K}^{*}(1410)^{0}
     100321,          0,        820,           K(1460)+,              K(1460)+,                   K(1460)^{+}
    -100321,          0,        821,           K(1460)-,              K(1460)-,                   K(1460)^{-}
     100323,          0,        822,          K*(1410)+,                  K'*+,               K^{*}(1410)^{+}
    -100323,          0,        823,          K*(1410)-,                  K'*-,               K^{*}(1410)^{-}
     100331,          0,        826,          eta(1475),             eta(1475),                    \eta(1475)
     100333,          0,        827,          phi(1680),             phi(1680),                    \phi(1680)
     100411,          0,        757,             D(2S)+,                D(2S)+,                     D(2S)^{+}
    -100411,          0,        758,             D(2S)-,                D(2S)-,                     D(2S)^{-}
     100413,          0,        759,          D*(2640)+,               D*(2S)+,               D^{*}(2640)^{+}
    -100413,          0,        760,          D*(2640)-,               D*(2S)-,               D^{*}(2640)^{-}
     100421,          0,        761,             D(2S)0,                D(2S)0,                     D(2S)^{0}
    -100421,          0,        762,            D(2S)~0,           anti-D(2S)0,               \bar{D}(2S)^{0}
     100423,          0,        763,          D*(2640)0,               D*(2S)0,               D^{*}(2640)^{0}
    -100423,          0,        764,         D*(2640)~0,          anti-D*(2S)0,         \bar{D}^{*}(2640)^{0}
     100441,     100441,        829,         eta(c)(2S),             eta_c(2S),                  \eta_{c}(2S)
     100443,     100443,        126,            psi(2S),               psi(2S),                      \psi(2S)
     100445,          0,       1031,      chi(c2)(3930),            chi_c2(2P),                 \chi_{c2}(2P)
     100551,          0,        830,         eta(b)(2S),             eta_b(2S),                  \eta_{b}(2S)
     100553,     100553,        831,        Upsilon(2S),           Upsilon(2S),                  \Upsilon(2S)
     100555,     100555,        832,        chi(b2)(2P),            chi_b2(2P),                 \chi_{b2}(2P)
     100557,     100557,        833,     Upsilon(3)(2D),         Upsilon_3(2D),              \Upsilon_{3}(2D)
     103112,          0,       1063,       Sigma(2250)-,          Sigma(2250)-,              \Sigma(2250)^{-}
    -103112,          0,       1064,      Sigma(2250)~+,     anti-Sigma(2250)+,        \bar{\Sigma}(2250)^{+}
     103212,          0,       1059,       Sigma(2250)0,          Sigma(2250)0,              \Sigma(2250)^{0}
    -103212,          0,       1060,      Sigma(2250)~0,     anti-Sigma(2250)0,        \bar{\Sigma}(2250)^{0}
     103222,          0,       1061,       Sigma(2250)+,          Sigma(2250)+,              \Sigma(2250)^{+}
    -103222,          0,       1062,      Sigma(2250)~-,     anti-Sigma(2250)-,        \bar{\Sigma}(2250)^{-}
     103316,          0,       1037,          Xi(1950)-,             Xi(1950)-,                 \Xi(1950)^{-}
    -103316,          0,       1038,         Xi(1950)~+,        anti-Xi(1950)+,           \bar{\Xi}(1950)^{+}
     103326,          0,       1039,          Xi(1950)0,             Xi(1950)0,                 \Xi(1950)^{0}
    -103326,          0,       1040,         Xi(1950)~0,        anti-Xi(1950)0,           \bar{\Xi}(1950)^{0}
     104122,          0,       1047,   Lambda(c)(2625)+,       Lambda_c(2625)+,         \Lambda_{c}(2625)^{+}
    -104122,          0,       1048,  Lambda(c)(2625)~-,  anti-Lambda_c(2625)-,   \bar{\Lambda}_{c}(2625)^{-}
     104312,          0,       1057,       Xi(c)(2815)0,           Xi_c(2815)0,             \Xi_{c}(2815)^{0}
    -104312,          0,       1058,      Xi(c)(2815)~0,      anti-Xi_c(2815)0,       \bar{\Xi}_{c}(2815)^{0}
     104314,          0,       1053,       Xi(c)(2790)0,           Xi_c(2790)0,             \Xi_{c}(2790)^{0}
    -104314,          0,       1054,      Xi(c)(2790)~0,      anti-Xi_c(2790)0,       \bar{\Xi}_{c}(2790)^{0}
     104322,          0,       1055,       Xi(c)(2815)+,           Xi_c(2815)+,             \Xi_{c}(2815)^{+}
    -104322,          0,       1056,      Xi(c)(2815)~-,      anti-Xi_c(2815)-,       \bar{\Xi}_{c}(2815)^{-}
     104324,          0,       1051,       Xi(c)(2790)+,           Xi_c(2790)+,             \Xi_{c}(2790)^{+}
    -104324,          0,       1052,      Xi(c)(2790)~-,      anti-Xi_c(2790)-,       \bar{\Xi}_{c}(2790)^{-}
     110551,     110551,        834,        chi(b0)(2P),            chi_b0(2P),                 \chi_{b0}(2P)
     110553,     110553,        835,           h(b)(2P),               h_b(2P),                     h_{b}(2P)
     110555,     110555,        836,        eta(b2)(2D),            eta_b2(2D),                 \eta_{b2}(2D)
     120553,     120553,        837,        chi(b1)(2P),            chi_b1(2P),                 \chi_{b1}(2P)
     120555,     120555,        838,     Upsilon(2)(2D),         Upsilon_2(2D),                \Upsilon_2(2D)
     130553,     130553,        839,     Upsilon(1)(2D),         Upsilon_1(2D),                \Upsilon_1(2D)
     200551,          0,        843,         eta(b)(3S),             eta_b(3S),                  \eta_{b}(3S)
     200553,     200553,        844,        Upsilon(3S),           Upsilon(3S),                  \Upsilon(3S)
     200555,     200555,        845,        chi(b2)(3P),            chi_b2(3P),                 \chi_{b2}(3P)
     203312,          0,       1033,          Xi(1690)-,             Xi(1690)-,                 \Xi(1690)^{-}
    -203312,          0,       1034,         Xi(1690)~+,        anti-Xi(1690)+,           \bar{\Xi}(1690)^{+}
     203316,          0,       1041,          Xi(2030)-,             Xi(2030)-,                 \Xi(2030)^{-}
    -203316,          0,       1042,         Xi(2030)~+,        anti-Xi(2030)+,           \bar{\Xi}(2030)^{+}
     203322,          0,       1035,          Xi(1690)0,             Xi(1690)0,                 \Xi(1690)^{0}
    -203322,          0,       1036,         Xi(1690)~0,        anti-Xi(1690)0,           \bar{\Xi}(1690)^{0}
     203326,          0,       1043,          Xi(2030)0,             Xi(2030)0,                 \Xi(2030)^{0}
    -203326,          0,       1044,         Xi(2030)~0,        anti-Xi(2030)0,           \bar{\Xi}(2030)^{0}
     203338,          0,       1045,       Omega(2250)-,          Omega(2250)-,              \Omega(2250)^{-}
    -203338,          0,       1046,      Omega(2250)~+,     anti-Omega(2250)+,        \bar{\Omega}(2250)^{+}
     204126,          0,       1049,   Lambda(c)(2880)+,       Lambda_c(2880)+,         \Lambda_{c}(2880)^{+}
    -204126,          0,       1050,  Lambda(c)(2880)~-,  anti-Lambda_c(2880)-,   \bar{\Lambda}_{c}(2880)^{-}
     210551,     210551,        846,         chi_b0(3P),            chi_b0(3P),                 \chi_{b0}(3P)
     210553,     210553,        847,            h_b(3P),               h_b(3P),                     h_{b}(3P)
     220553,     220553,        848,         chi_b1(3P),            chi_b1(3P),                 \chi_{b1}(3P)
     300553,     300553,        849,        Upsilon(4S),           Upsilon(4S),                  \Upsilon(4S)
    1000001,    1000001,        859,              ~d(L),               unknown,                 \tilde{d}_{L}
   -1000001,   -1000001,        860,             ~d(L)~,               unknown,           \bar{\tilde{d}}_{L}
    1000002,    1000002,        861,              ~u(L),               unknown,                 \tilde{u}_{L}
   -1000002,   -1000002,        862,             ~u(L)~,               unknown,           \bar{\tilde{u}}_{L}
    1000003,    1000003,        863,              ~s(L),               unknown,                 \tilde{s}_{L}
   -1000003,   -1000003,        864,             ~s(L)~,               unknown,           \bar{\tilde{s}}_{L}
    1000004,    1000004,        865,              ~c(L),               unknown,                 \tilde{c}_{L}
   -1000004,   -1000004,        866,             ~c(L)~,               unknown,           \bar{\tilde{c}}_{L}
    1000005,    1000005,        867,              ~b(1),               unknown,                 \tilde{b}_{1}
   -1000005,   -1000005,        868,             ~b(1)~,               unknown,           \bar{\tilde{b}}_{1}
    1000006,    1000006,        869,              ~t(1),               unknown,                 \tilde{t}_{1}
   -1000006,   -1000006,        870,             ~t(1)~,               unknown,           \bar{\tilde{t}}_{1}
    1000011,    1000011,        871,             ~e(L)-,               unknown,             \tilde{e}_{L}^{-}
   -1000011,   -1000011,        872,             ~e(L)+,               unknown,             \tilde{e}_{L}^{+}
    1000012,    1000012,        873,            ~nu(eL),               unknown,              \tilde{\nu}_{eL}
   -1000012,   -1000012,        874,           ~nu(eL)~,               unknown,        \bar{\tilde{\nu}}_{eL}
    1000013,    1000013,        875,            ~mu(L)-,               unknown,           \tilde{\mu}_{L}^{-}
   -1000013,   -1000013,        876,            ~mu(L)+,               unknown,           \tilde{\mu}_{L}^{+}
    1000014,    1000014,        877,           ~nu(muL),               unknown,           \tilde{\nu}_{\mu L}
   -1000014,   -1000014,        878,          ~nu(muL)~,               unknown,     \bar{\tilde{\nu}}_{\mu L}
    1000015,    1000015,        879,           ~tau(1)-,               unknown,          \tilde{\tau}_{1}^{-}
   -1000015,   -1000015,        880,           ~tau(1)+,               unknown,          \tilde{\tau}_{1}^{+}
    1000016,    1000016,        881,          ~nu(tauL),               unknown,          \tilde{\nu}_{\tau L}
   -1000016,   -1000016,        882,         ~nu(tauL)~,               unknown,    \bar{\tilde{\nu}}_{\tau L}
    1000021,    1000021,        883,                 ~g,               unknown,                     \tilde{g}
    1000022,    1000022,        884,           ~chi(1)0,               unknown,          \tilde{\chi}_{1}^{0}
    1000023,    1000023,        885,           ~chi(2)0,               unknown,          \tilde{\chi}_{2}^{0}
    1000024,    1000024,        886,           ~chi(1)+,               unknown,          \tilde{\chi}_{1}^{+}
   -1000024,   -1000024,        887,           ~chi(1)-,               unknown,          \tilde{\chi}_{1}^{-}
    1000025,    1000025,        888,           ~chi(3)0,               unknown,          \tilde{\chi}_{3}^{0}
    1000035,    1000035,        889,           ~chi(4)0,               unknown,          \tilde{\chi}_{4}^{0}
    1000037,    1000037,        890,           ~chi(2)+,               unknown,          \tilde{\chi}_{2}^{+}
   -1000037,   -1000037,        891,           ~chi(2)-,               unknown,          \tilde{\chi}_{2}^{-}
    1000039,    1000039,        892,         ~Gravitino,               unknown,                     \tilde{G}
    1000223,          0,        812,        omega(1420),             omega(2S),                  \omega(1420)
    2000001,    2000001,        893,              ~d(R),               unknown,                 \tilde{d}_{R}
   -2000001,   -2000001,        894,             ~d(R)~,               unknown,           \bar{\tilde{d}}_{R}
    2000002,    2000002,        895,              ~u(R),               unknown,                 \tilde{u}_{R}
   -2000002,   -2000002,        896,             ~u(R)~,               unknown,           \bar{\tilde{u}}_{R}
    2000003,    2000003,        897,              ~s(R),               unknown,                 \tilde{s}_{R}
   -2000003,   -2000003,        898,             ~s(R)~,               unknown,           \bar{\tilde{s}}_{R}
    2000004,    2000004,        899,              ~c(R),               unknown,                 \tilde{c}_{R}
   -2000004,   -2000004,        900,             ~c(R)~,               unknown,           \bar{\tilde{c}}_{R}
   2000005,    2000005,        901,              ~b(2),               unknown,                 \tilde{b}_{2}
   -2000005,   -2000005,        902,             ~b(2)~,               unknown,           \bar{\tilde{b}}_{2}
    2000006,    2000006,        903,              ~t(2),               unknown,                 \tilde{t}_{2}
   -2000006,   -2000006,        904,             ~t(2)~,               unknown,           \bar{\tilde{t}}_{2}
    2000011,    2000011,        905,             ~e(R)-,               unknown,             \tilde{e}_{R}^{-}
   -2000011,   -2000011,        906,             ~e(R)+,               unknown,             \tilde{e}_{R}^{+}
    2000012,    2000012,        907,            ~nu(eR),               unknown,              \tilde{\nu}_{eR}
   -2000012,   -2000012,        908,           ~nu(eR)~,               unknown,        \bar{\tilde{\nu}}_{eR}
    2000013,    2000013,        909,            ~mu(R)-,               unknown,           \tilde{\mu}_{R}^{-}
   -2000013,   -2000013,        910,            ~mu(R)+,               unknown,           \tilde{\mu}_{R}^{+}
    2000014,    2000014,        911,           ~nu(muR),               unknown,           \tilde{\nu}_{\mu R}
   -2000014,   -2000014,        912,          ~nu(muR)~,               unknown,     \bar{\tilde{\nu}}_{\mu R}
    2000015,    2000015,        913,           ~tau(2)-,               unknown,          \tilde{\tau}_{2}^{-}
   -2000015,   -2000015,        914,           ~tau(2)+,               unknown,          \tilde{\tau}_{2}^{+}
    2000016,    2000016,        915,          ~nu(tauR),               unknown,          \tilde{\nu}_{\tau R}
   -2000016,   -2000016,        916,         ~nu(tauR)~,               unknown,    \bar{\tilde{\nu}}_{\tau R}
    3000111,    3000111,        917,            pi(tc)0,               unknown,                  \pi_{tc}^{0}
    3000113,    3000113,        918,           rho(tc)0,               unknown,                 \rho_{tc}^{0}
    3000211,    3000211,        919,            pi(tc)+,               unknown,                  \pi_{tc}^{+}
   -3000211,   -3000211,        920,            pi(tc)-,               unknown,                  \pi_{tc}^{-}
    3000213,    3000213,        921,           rho(tc)+,               unknown,                 \rho_{tc}^{+}
   -3000213,   -3000213,        922,           rho(tc)-,               unknown,                 \rho_{tc}^{-}
    3000221,    3000221,        923,           pi(tc)'0,               unknown,           \pi_{tc}^{\prime 0}
    3000223,    3000223,        924,          omega(tc),               unknown,                   \omega_{tc}
    3000331,    3000331,        925,             eta_tc,               unknown,                     \eta_{tc}
    3100021,    3100021,        926,              V8_tc,               unknown,                         V_{8}
    4000001,    4000001,        933,                 d*,               unknown,                         d^{*}
   -4000001,   -4000001,        934,                d*~,               unknown,                   \bar{d}^{*}
    4000002,    4000002,        935,                 u*,               unknown,                         u^{*}
   -4000002,   -4000002,        936,                u*~,               unknown,                   \bar{u}^{*}
    4000011,    4000011,        937,                e*-,               unknown,                        e^{*-}
   -4000011,   -4000011,        938,               e*+~,               unknown,                  \bar{e}^{*+}
    4000012,    4000012,        939,            nu(e)*0,               unknown,                  \nu_{e}^{*0}
   -4000012,   -4000012,        940,           nu(e)*~0,               unknown,            \bar{\nu}_{e}^{*0}
    5000039,    5000039,        941,          Graviton*,               unknown,                         G^{*}
    9000111,      10111,        132,         a(0)(980)0,                  a_00,                a_{0}(980)^{0}
    9000113,          0,       1021,        pi(1)(1400),           pi_1(1400)0,             \pi_{1}(1400)^{0}
    9000115,          0,          0,        a(2)(1700)0,            a_2(1700)0,               a_{2}(1700)^{0}
    9000117,          0,          0,      rho(3)(1990)0,               unknown,            \rho_{3}(1990)^{0}
    9000211,      10211,        133,         a(0)(980)+,                  a_0+,                a_{0}(980)^{+}
   -9000211,     -10211,        134,         a(0)(980)-,                  a_0-,                a_{0}(980)^{-}
    9000213,          0,       1023,       pi(1)(1400)+,           pi_1(1400)+,             \pi_{1}(1400)^{+}
   -9000213,          0,       1024,       pi(1)(1400)-,           pi_1(1400)-,             \pi_{1}(1400)^{-}
    9000215,          0,          0,        a(2)(1700)+,            a_2(1700)+,               a_{2}(1700)^{+}
   -9000215,          0,          0,        a(2)(1700)-,            a_2(1700)-,               a_{2}(1700)^{-}
    9000217,          0,          0,      rho(3)(1990)+,               unknown,            \rho_{3}(1990)^{+}
   -9000217,          0,          0,      rho(3)(1990)-,               unknown,            \rho_{3}(1990)^{-}
    9000221,          0,        850,          f(0)(500),               sigma_0,                    f_{0}(500)
    9000223,          0,          0,         f(1)(1510),               unknown,                   f_{1}(1510)
    9000225,          0,          0,         f(2)(1430),               unknown,                   f_{2}(1430)
    9000229,          0,          0,         f(J)(2220),               unknown,                   f_{J}(2220)
    9000311,          0,          0,        K(0)*(700)0,               unknown,            K_{0}^{*}(700)^{0}
   -9000311,          0,          0,       K(0)*(700)~0,               unknown,      \bar{K}_{0}^{*}(700)^{0}
    9000313,          0,          0,        K(1)(1650)0,               unknown,               K_{1}(1650)^{0}
   -9000313,          0,          0,       K(1)(1650)~0,               unknown,         \bar{K}_{1}(1650)^{0}
    9000315,          0,          0,        K(2)(1580)0,               unknown,               K_{2}(1580)^{0}
   -9000315,          0,          0,       K(2)(1580)~0,               unknown,         \bar{K}_{2}(1580)^{0}
    9000319,          0,          0,        K(4)(2500)0,               unknown,               K_{4}(2500)^{0}
   -9000319,          0,          0,       K(4)(2500)~0,               unknown,         \bar{K}_{4}(2500)^{0}
    9000321,          0,          0,        K(0)*(700)+,               unknown,            K_{0}^{*}(700)^{+}
   -9000321,          0,          0,        K(0)*(700)-,               unknown,            K_{0}^{*}(700)^{-}
    9000323,          0,          0,        K(1)(1650)+,               unknown,               K_{1}(1650)^{+}
   -9000323,          0,          0,        K(1)(1650)-,               unknown,               K_{1}(1650)^{-}
    9000325,          0,          0,        K(2)(1580)+,               unknown,               K_{2}(1580)^{+}
   -9000325,          0,          0,        K(2)(1580)-,               unknown,               K_{2}(1580)^{-}
    9000329,          0,          0,        K(4)(2500)+,               unknown,               K_{4}(2500)^{+}
   -9000329,          0,          0,        K(4)(2500)-,               unknown,               K_{4}(2500)^{-}
    9000443,          0,        851,          psi(4040),             psi(4040),                    \psi(4040)
    9000553,          0,        852,     Upsilon(10860),           Upsilon(5S),               \Upsilon(10860)
    9010111,          0,        840,          pi(1800)0,             pi(1800)0,                 \pi(1800)^{0}
    9010113,          0,       1027,        pi(1)(1600),           pi_1(1600)0,             \pi_{1}(1600)^{0}
    9010117,          0,          0,       rho(3)(2250),               unknown,            \rho_{3}(2250)^{0}
    9010211,          0,        841,          pi(1800)+,             pi(1800)+,                 \pi(1800)^{+}
   -9010211,          0,        842,          pi(1800)-,             pi(1800)-,                 \pi(1800)^{-}
    9010213,          0,       1029,       pi(1)(1600)+,           pi_1(1600)+,             \pi_{1}(1600)^{+}
   -9010213,          0,       1030,       pi(1)(1600)-,           pi_1(1600)-,             \pi_{1}(1600)^{-}
    9010217,          0,          0,      rho(3)(2250)+,               unknown,            \rho_{3}(2250)^{+}
   -9010217,          0,          0,      rho(3)(2250)-,               unknown,            \rho_{3}(2250)^{-}
    9010221,      10221,        596,          f(0)(980),                   f_0,                    f_{0}(980)
    9010223,          0,          0,         h(1)(1595),               unknown,                   h_{1}(1595)
    9010225,          0,          0,         f(2)(1565),               unknown,                   f_{2}(1565)
    9010229,          0,          0,         f(4)(2300),               unknown,                   f_{4}(2300)
    9010311,          0,          0,           K(1830)0,               unknown,                   K(1830)^{0}
   -9010311,          0,          0,          K(1830)~0,               unknown,             \bar{K}(1830)^{0}
    9010315,          0,        818,       K(2)*(1980)0,           K_2*(1980)0,           K_{2}^{*}(1980)^{0}
   -9010315,          0,        819,      K(2)*(1980)~0,      anti-K_2*(1980)0,     \bar{K}_{2}^{*}(1980)^{0}
    9010317,          0,          0,        K(3)(2320)0,               unknown,               K_{3}(2320)^{0}
   -9010317,          0,          0,       K(3)(2320)~0,               unknown,         \bar{K}_{3}(2320)^{0}
    9010321,          0,          0,           K(1830)+,               unknown,                   K(1830)^{+}
   -9010321,          0,          0,           K(1830)-,               unknown,                   K(1830)^{-}
    9010325,          0,        824,       K(2)*(1980)+,           K_2*(1980)+,           K_{2}^{*}(1980)^{+}
   -9010325,          0,        825,       K(2)*(1980)-,           K_2*(1980)-,           K_{2}^{*}(1980)^{-}
    9010327,          0,          0,        K(3)(2320)+,               unknown,               K_{3}(2320)^{+}
   -9010327,          0,          0,        K(3)(2320)-,               unknown,               K_{3}(2320)^{-}
    9010443,          0,        853,          psi(4160),             psi(4160),                    \psi(4160)
    9010553,          0,        854,     Upsilon(11020),        Upsilon(11020),               \Upsilon(11020)
    9020113,          0,          0,        a(1)(1640)0,               unknown,               a_{1}(1640)^{0}
    9020213,          0,          0,        a(1)(1640)+,               unknown,               a_{1}(1640)^{+}
   -9020213,          0,          0,        a(1)(1640)-,               unknown,               a_{1}(1640)^{-}
    9020221,          0,       1025,          eta(1405),             eta(1405),                    \eta(1405)
    9020225,          0,          0,         f(2)(1640),               unknown,                   f_{2}(1640)
    9020311,          0,          0,       K(0)*(1950)0,               unknown,           K_{0}^{*}(1950)^{0}
   -9020311,          0,          0,      K(0)*(1950)~0,               unknown,     \bar{K}_{0}^{*}(1950)^{0}
    9020315,          0,          0,        K(2)(2250)0,               unknown,               K_{2}(2250)^{0}
   -9020315,          0,          0,       K(2)(2250)~0,               unknown,         \bar{K}_{2}(2250)^{0}
    9020321,          0,          0,       K(0)*(1950)+,               unknown,           K_{0}^{*}(1950)^{+}
   -9020321,          0,          0,       K(0)*(1950)-,               unknown,           K_{0}^{*}(1950)^{-}
    9020325,          0,          0,        K(2)(2250)+,               unknown,               K_{2}(2250)^{+}
   -9020325,          0,          0,        K(2)(2250)-,               unknown,               K_{2}(2250)^{-}
    9020443,          0,        856,          psi(4415),             psi(4415),                    \psi(4415)
    9030113,          0,          0,         rho(1900)0,               unknown,                \rho(1900)^{0}
    9030213,          0,          0,         rho(1900)+,               unknown,                \rho(1900)^{+}
   -9030213,          0,          0,         rho(1900)-,               unknown,                \rho(1900)^{-}
    9030221,          0,        855,         f(0)(1500),             f_0(1500),                   f_{0}(1500)
    9030225,          0,          0,         f(2)(1810),               unknown,                   f_{2}(1810)
    9040113,          0,          0,         rho(2150)0,               unknown,                \rho(2150)^{0}
    9040213,          0,          0,         rho(2150)+,               unknown,                \rho(2150)^{+}
   -9040213,          0,          0,         rho(2150)-,               unknown,                \rho(2150)^{-}
    9040221,          0,          0,          eta(1760),               unknown,                    \eta(1760)
    9040225,          0,          0,         f(2)(1910),               unknown,                   f_{2}(1910)
    9042413,    9042413,       1018,           Z(4430)+,              Z(4430)+,                   Z(4430)^{+}
