# (c) Scikit-HEP project - Particle package data file - pdgid_to_latexname.csv - version 13 - 2023-07-03
PDGID,LATEXNAME
12216,N(1680)^{+}
12218,N(1990)^{+}
12222,\Delta(1900)^{++}
12224,\Delta(1700)^{++}
12226,\Delta(1930)^{++}
13112,\Sigma(1660)^{-}
13114,\Sigma(1670)^{-}
13116,\Sigma(1915)^{-}
13122,\Lambda(1405)
13124,\Lambda(1690)
13126,\Lambda(1830)
13212,\Sigma(1660)^{0}
13214,\Sigma(1670)^{0}
13216,\Sigma(1915)^{0}
13222,\Sigma(1660)^{+}
13224,\Sigma(1670)^{+}
13226,\Sigma(1915)^{+}
13314,\Xi(1820)^{-}
13324,\Xi(1820)^{0}
14122,\Lambda_{c}(2593)^{+}
15122,\Lambda_{b}(5912)^{0}
20022,opticalphoton
20113,a_{1}(1260)^{0}
20213,a_{1}(1260)^{+}
20223,f_{1}(1285)
20313,K_{1}(1400)^{0}
20315,K_{2}(1820)^{0}
20323,K_{1}(1400)^{+}
20325,K_{2}(1820)^{+}
20333,f_{1}(1420)
20413,D_{1}(H)^{+}
20423,D_{1}(2430)^{0}
20433,D_{s1}(2460)^{+}
20443,\chi_{c1}(1P)
20513,B_{1}(H)^{0}
20523,B_{1}(H)^{+}
20533,B_{s1}(H)^{0}
20543,B_{c1}(H)^{+}
20553,\chi_{b1}(1P)
20555,\Upsilon_{2}(1D)
21112,\Delta(1910)^{-}
21114,\Delta(1920)^{-}
21212,\Delta(1910)^{0}
21214,N(1700)^{0}
22112,\Delta(1910)^{0}
22114,\Delta(1920)^{0}
22122,\Delta(1910)^{+}
22124,N(1700)^{+}
22212,N(1535)^{+}
22214,\Delta(1920)^{+}
22222,\Delta(1910)^{++}
22224,\Delta(1920)^{++}
23112,\Sigma(1750)^{-}
23114,\Sigma(1940)^{-}
23122,\Lambda(1600)
23124,\Lambda(1890)
23126,\Lambda(2110)
23212,\Sigma(1750)^{0}
23214,\Sigma(1940)^{0}
23222,\Sigma(1750)^{+}
23224,\Sigma(1940)^{+}
30113,\rho(1700)^{0}
30213,\rho(1700)^{+}
30223,\omega(1650)
