# (c) Scikit-HEP project - Particle package data file - pdgid_to_lhcbname.csv - 2021-11-11
PDGID,STR
23212,Sigma(1750)0
-23212,Sigma(1750)~0
23214,Sigma(1940)0
-23214,Sigma(1940)~0
23222,Sigma(1750)+
-23222,Sigma(1750)~-
23224,Sigma(1940)+
-23224,Sigma(1940)~-
30113,rho(1700)0
30213,rho(1700)+
-30213,rho(1700)-
30223,omega(1650)
30313,K*(1680)0
-30313,K*(1680)~0
30323,K*(1680)+
-30323,K*(1680)-
30343,Xsd
-30343,anti-Xsd
30353,Xsu
-30353,anti-Xsu
30363,Xss
-30363,anti-Xss
30443,psi(3770)
30553,Upsilon_1(1D)
31114,Delta(1600)-
-31114,Delta(1600)~+
31214,N(1720)0
-31214,N(1720)~0
32112,N(1650)0
-32112,N(1650)~0
32114,Delta(1600)0
-32114,Delta(1600)~0
32124,N(1720)+
-32124,N(1720)~-
32212,N(1650)+
-32212,N(1650)~-
32214,Delta(1600)+
-32214,Delta(1600)~-
32224,Delta(1600)++
-32224,Delta(1600)~--
33122,Lambda(1670)0
-33122,Lambda(1670)~0
41214,N(1900)0
-41214,N(1900)~0
42112,N(1710)0
-42112,N(1710)~0
42124,N(1900)+
-42124,N(1900)~-
42212,N(1710)+
-42212,N(1710)~-
43122,Lambda(1800)0
-43122,Lambda(1800)~0
52114,N(2090)0
-52114,N(2090)~0
52214,N(2090)+
-52214,N(2090)~-
53122,Lambda(1810)0
-53122,Lambda(1810)~0
100111,pi(1300)0
100113,rho(1450)0
100211,pi(1300)+
-100211,pi(1300)-
100213,rho(1450)+
-100213,rho(1450)-
100221,eta(1295)
100223,omega(1420)
100311,K(1460)0
-100311,K(1460)~0
100313,K*(1410)0
-100313,K*(1410)~0
100315,K*_2(1980)0
-100315,K*_2(1980)~0
100321,K(1460)+
-100321,K(1460)-
100323,K*(1410)+
-100323,K*(1410)-
100325,K*_2(1980)+
-100325,K*_2(1980)-
100331,eta(1475)
100333,phi(1680)
100411,D(2S)+
-100411,D(2S)-
100413,D*(2640)+
-100413,D*(2640)-
100421,D(2S)0
-100421,D(2S)~0
100423,D*(2640)0
-100423,D*(2640)~0
100441,eta_c(2S)
100443,psi(2S)
100445,chi_c2(2P)
100541,B_c(2S)+
-100541,B_c(2S)-
100543,B_c*(2S)+
-100543,B_c*(2S)-
100551,eta_b(2S)
100553,Upsilon(2S)
100555,chi_b2(2P)
100557,Upsilon_3(2D)
103112,Sigma(2250)-
-103112,Sigma(2250)~+
103212,Sigma(2250)0
-103212,Sigma(2250)~0
103222,Sigma(2250)+
-103222,Sigma(2250)~-
103316,Xi(1950)-
-103316,Xi(1950)~+
103326,Xi(1950)0
-103326,Xi(1950)~0
104124,Lambda_c(2625)+
-104124,Lambda_c(2625)~-
104312,Xi_c(2815)0
-104312,Xi_c(2815)~0
104314,Xi_c(2790)0
-104314,Xi_c(2790)~0
104322,Xi_c(2815)+
-104322,Xi_c(2815)~-
104324,Xi_c(2790)+
-104324,Xi_c(2790)~-
110551,chi_b0(2P)
110553,h_b(2P)
110555,eta_b2(2D)
120553,chi_b1(2P)
120555,Upsilon_2(2D)
130553,Upsilon_1(2D)
200551,eta_b(3S)
200553,Upsilon(3S)
200555,chi_b2(3P)
203312,Xi(1690)-
-203312,Xi(1690)~+
203316,Xi(2030)-
-203316,Xi(2030)~+
203322,Xi(1690)0
-203322,Xi(1690)~0
203326,Xi(2030)0
-203326,Xi(2030)~0
203338,Omega(2250)-
-203338,Omega(2250)~+
204126,Lambda_c(2880)+
-204126,Lambda_c(2880)~-
210551,chi_b0(3P)
210553,h_b(3P)
220553,chi_b1(3P)
300553,Upsilon(4S)
1000001,~d_L
-1000001,~d_Lbar
1000002,~u_L
-1000002,~u_Lbar
1000003,~s_L
-1000003,~s_Lbar
1000004,~c_L
-1000004,~c_Lbar
1000005,~b_1
-1000005,~b_1bar
1000006,~t_1
-1000006,~t_1bar
1000011,~e_L-
-1000011,~e_L+
1000012,~nu_eL
-1000012,~nu_eLbar
1000013,~mu_L-
-1000013,~mu_L+
1000014,~nu_muL
-1000014,~nu_muLbar
1000015,~tau_1-
-1000015,~tau_1+
1000016,~nu_tauL
-1000016,~nu_tauLbar
1000021,~g
1000022,~chi_10
1000023,~chi_20
1000024,~chi_1+
-1000024,~chi_1-
1000025,~chi_30
1000035,~chi_40
1000037,~chi_2+
-1000037,~chi_2-
1000039,~Gravitino
2000001,~d_R
-2000001,~d_Rbar
2000002,~u_R
-2000002,~u_Rbar
2000003,~s_R
-2000003,~s_Rbar
2000004,~c_R
-2000004,~c_Rbar
2000005,~b_2
-2000005,~b_2bar
2000006,~t_2
-2000006,~t_2bar
2000011,~e_R-
-2000011,~e_R+
2000012,~nu_eR
-2000012,~nu_eRbar
2000013,~mu_R-
-2000013,~mu_R+
2000014,~nu_muR
-2000014,~nu_muRbar
2000015,~tau_2-
-2000015,~tau_2+
2000016,~nu_tauR
-2000016,~nu_tauRbar
3000111,pi_tc0
3000113,rho_tc0
3000211,pi_tc+
-3000211,pi_tc-
3000213,rho_tc+
-3000213,rho_tc-
3000221,pi'_tc0
3000223,omega_tc
3000331,eta_tc0
3100021,V8_tc
3100111,pi_22_1_tc
3100113,rho_11_tc
3200111,pi_22_8_tc
3200113,rho_12_tc
3300113,rho_21_tc
3400113,rho_22_tc
4000001,d*
-4000001,d*bar
4000002,u*
-4000002,u*bar
4000011,e*-
-4000011,e*bar+
4000012,nu*_e0
-4000012,nu*_ebar0
4900021,gv
4900023,Zv
4900101,qv
-4900101,qvbar
4900111,pivDiag
4900113,rhovDiag
4900211,pivUp
-4900211,pivDn
4900213,rhovUp
-4900213,rhovDn
5000039,Graviton*
9000111,a_0(980)0
9000113,pi_1(1400)0
9000211,a_0(980)+
-9000211,a_0(980)-
9000213,pi_1(1400)+
-9000213,pi_1(1400)-
9000221,sigma_0
9000443,psi(4040)
9000553,Upsilon(10860)
9010111,pi(1800)0
9010113,pi_1(1600)0
9010211,pi(1800)+
-9010211,pi(1800)-
9010213,pi_1(1600)+
-9010213,pi_1(1600)-
9010221,f_0(980)
9010443,psi(4160)
9010553,Upsilon(11020)
9020221,eta(1405)0
9020443,psi(4415)
9030221,f_0(1500)
9042413,Z(4430)+
-9042413,Z(4430)-
9050225,f_2(1950)
9060225,f_2(2010)
9080225,f_2(2300)
9090225,f_2(2340)
9900012,nu_Re
